Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
sir2~~~sir2_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3296,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3282,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3115,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
baiA~~~lvr_2~~~fabG_4,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2894,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2565,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2427,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2083,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2037,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1973,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1290,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_864,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
gltC_4,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_561,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_439,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_350,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
quiA_2,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3675,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3581,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3476,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3421,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
