Gene,estimate,std_error,t_value,p_value,r_squared,p_adj
group_4203,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4202,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4201,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4200,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4199,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
higA_2,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4198,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4197,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4196,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4195,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4194,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4193,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4192,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4191,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4190,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4189,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4188,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4187,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4186,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4185,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4184,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4183,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4182,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4181,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
fadD_5,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4180,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4179,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
resA_3,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4178,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4177,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4176,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4175,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4174,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4173,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
hin_2,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4172,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4171,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4170,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4169,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4168,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4167,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4166,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4165,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4164,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4163,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4162,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4161,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4160,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4159,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4158,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4157,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
arsH_2,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4156,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4155,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4154,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4153,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4152,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
group_4151,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
ompP1,-33.102665637142856,10.950351807928717,-3.0229773634463983,0.008082451722578293,0.36352333470848214,0.028971294934745897
