Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_1420,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
osmW_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1147,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1128,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1083,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_1025,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
hyuA_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
osmX_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_905,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_900,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_889,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
tri1_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_846,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
leuA_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_663,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_642,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
osmV_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_562,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_559,0.0022624434389140256,Inf,7,0,0.44163070633658924,Enriched in Sixty Lake
pntAA_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
pntB_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
sctC_2,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
sseC,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
apc4,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
shlB_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_161,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
ssaV_1,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
apc3,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_88,0.009049773755656115,0,0,6,0.44163070633658924,Enriched in Conness Pond
group_4338,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_4336,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_4335,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_4334,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_4333,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3796,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3794,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3792,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3790,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3789,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3786,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3785,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3784,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3781,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3775,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3774,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3773,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3772,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
addA_2,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3766,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3765,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3764,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3763,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
recF_3,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3761,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3758,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
cusR_1,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3754,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3745,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
