Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction
group_3372,0.14479638009049767,5.899131719506957,8,2,1,Enriched in Strong
group_3364,0.14479638009049767,5.899131719506957,8,2,1,Enriched in Strong
group_3348,0.14479638009049767,5.899131719506957,8,2,1,Enriched in Strong
group_3336,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3300,1,0.9052786960026467,6,4,1,Enriched in Strong
group_3267,1,0.9052786960026467,6,4,1,Enriched in Strong
group_3266,1,0.9052786960026467,6,4,1,Enriched in Strong
group_3239,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3229,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3221,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3212,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
nnr_1~~~nnr_2,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3177,0.14479638009049767,5.899131719506957,8,2,1,Enriched in Strong
group_3158,0.14479638009049767,5.899131719506957,8,2,1,Enriched in Strong
group_3134,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_3127,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
rcsC_4~~~rcsC_10,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3080,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3054,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2997,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_2996,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
qseC_1~~~qseC_3,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2930,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2929,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2905,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
tpiA_1,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2904,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
sasA_1~~~sasA_3,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
fda,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_2804,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_2717,0.6370663650075414,0.4998528722969316,6,5,1,Enriched in Strong
group_2590,0.6370663650075414,0.4998528722969316,6,5,1,Enriched in Strong
group_2262,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2203,1,0.9052786960026467,6,4,1,Enriched in Strong
group_2017,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_2005,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_1781,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
yodB_2,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
pat_1,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_1321,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_1248,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_1116,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
anr_1,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_1004,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
uspE_2,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
uspE_1,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
apbE,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
adhA,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_677,1,0.9052786960026467,6,4,1,Enriched in Strong
group_623,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
czcO,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
ackA,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_490,0.15073529411764705,0.155098220325097,5,6,1,Enriched in Weak
group_319,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
ohyA,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_121,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_96,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
xpkA,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
ndvB,0.6304675716440424,2.2222125925873573,7,3,1,Enriched in Strong
group_3429,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3418,0.0497737556561086,13.25392620097747,8,1,1,Enriched in Strong
group_3395,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3394,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3390,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
sir2~~~sir2_1,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3296,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3282,0.0497737556561086,13.25392620097747,8,1,1,Enriched in Strong
group_3274,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_3246,0.0497737556561086,13.25392620097747,8,1,1,Enriched in Strong
group_3241,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_3115,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3084,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
baiA~~~lvr_2~~~fabG_4,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_2894,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_2707,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_2565,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_2427,0.0497737556561086,13.25392620097747,8,1,1,Enriched in Strong
group_2371,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_2083,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_2037,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_1973,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_1904,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1749,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1721,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1655,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1290,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_1217,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1065,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_1033,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_864,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
gltC_4,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_561,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_477,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_439,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_350,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_144,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
group_136,0.9999999999999999,1.558412625283201,6,3,1,Enriched in Strong
quiA_2,0.33484162895927583,4.00619136980747,7,2,1,Enriched in Strong
group_3675,0.33484162895927583,0.2496136374154433,4,5,1,Enriched in Weak
group_3581,0.0497737556561086,0.07544934118663257,3,6,1,Enriched in Weak
group_3476,0.0497737556561086,0.07544934118663257,3,6,1,Enriched in Weak
group_3421,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
argO_1~~~argO_2,0.9999999999999999,0.6416785797139414,5,4,1,Enriched in Strong
group_3286,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_3285,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_3252,0.0497737556561086,0.07544934118663257,3,6,1,Enriched in Weak
ppc_2,0.33484162895927583,0.2496136374154433,4,5,1,Enriched in Weak
group_2874,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2824,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2721,0.33484162895927583,0.2496136374154433,4,5,1,Enriched in Weak
group_2667,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2484,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2439,0.33484162895927583,0.2496136374154433,4,5,1,Enriched in Weak
group_2310,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2261,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2252,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2057,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_2040,0.33484162895927583,0.2496136374154433,4,5,1,Enriched in Weak
group_1894,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
ywnA,0.0497737556561086,0.07544934118663257,3,6,1,Enriched in Weak
group_1853,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1769,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1719,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1654,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1644,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1598,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1450,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1327,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1277,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1256,0.9999999999999999,0.6416785797139414,5,4,1,Enriched in Strong
group_1191,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_1127,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_973,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_815,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
gcvA_4,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_610,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_359,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_18,0.06561085972850685,9.107544104698507,7,1,1,Enriched in Strong
group_3531,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_3467,0.15073529411764708,6.447527237281802,6,1,1,Enriched in Strong
group_3413,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3410,0.9999999999999999,1.104632202674828,5,3,1,Enriched in Strong
dnaC~~~dnaC_2,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3360,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_3353,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_3344,0.6304675716440423,0.45000195000951,4,4,1,No difference
dnaB_2~~~dnaB_1~~~dnaC_2,0.6304675716440423,0.45000195000951,4,4,1,No difference
rcsC_3~~~rcsC_8,0.6304675716440423,0.45000195000951,4,4,1,No difference
smf1_1~~~smf1_2,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3320,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_3308,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3292,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3290,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3276,0.9999999999999999,1.104632202674828,5,3,1,Enriched in Strong
rcsC_2~~~rcsC_7,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3227,0.9999999999999999,1.104632202674828,5,3,1,Enriched in Strong
group_3182,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
mrkD,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3143,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_3135,0.9999999999999999,1.104632202674828,5,3,1,Enriched in Strong
group_3132,0.6304675716440423,0.45000195000951,4,4,1,No difference
lexA_4,0.6304675716440423,0.45000195000951,4,4,1,No difference
ephA_1,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_2961,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_2925,0.9999999999999999,1.104632202674828,5,3,1,Enriched in Strong
group_2469,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_2350,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_2190,0.6304675716440423,0.45000195000951,4,4,1,No difference
pdeR,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_1898,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_1828,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_1516,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
nreC,0.6304675716440423,0.45000195000951,4,4,1,No difference
rcsB_1,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_412,0.14479638009049767,0.16951647251632798,3,5,1,Enriched in Weak
group_393,0.6304675716440423,0.45000195000951,4,4,1,No difference
htrE_1,0.6304675716440423,0.45000195000951,4,4,1,No difference
group_4332,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_4331,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_4330,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3937,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
bin3,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3936,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3935,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3934,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3933,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3931,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3930,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3929,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3928,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
recD_2,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3926,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3925,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3924,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3922,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3921,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3920,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3919,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3918,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3916,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3915,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3913,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
soj_3,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3912,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
umuC,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3910,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3909,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3908,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3906,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3905,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3904,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3903,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
virB9,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
noc~~~noc_3,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
virB4,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3901,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3900,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
umuD_2,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3897,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3896,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3895,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3894,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3893,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3891,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3890,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3889,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
ssb_2,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3678,0.6370663650075414,2.0005886840357303,5,2,1,Enriched in Strong
group_3643,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3529,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3496,0.6370663650075414,2.0005886840357303,5,2,1,Enriched in Strong
group_3434,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3433,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3425,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3423,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3409,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3408,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3407,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3406,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3405,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3402,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3401,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3399,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3396,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3393,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3388,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3386,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3385,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3383,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3381,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3376,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3374,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3373,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3369,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3366,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3365,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3362,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3361,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3358,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3352,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3350,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3349,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
yscU_3~~~yscU_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3346,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3345,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3343,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3339,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3333,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3318,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3317,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
intA~~~intA_3,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3311,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3310,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3309,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
spaP_2~~~spaP_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3306,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3304,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
rcsC_24~~~rcsC_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3295,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3293,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3287,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3284,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3283,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3271,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3265,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3255,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3254,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3209,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
rhaS_8~~~rhaS_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3201,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3181,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3171,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_3164,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3155,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
yscN_2~~~yscN_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3138,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3136,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
tri1_1,0.6370663650075414,2.0005886840357303,5,2,1,Enriched in Strong
group_3121,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3105,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3097,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3082,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3065,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3039,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_3038,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
nanT_1~~~naiP_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_3013,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2966,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2938,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2936,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2935,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2919,0.04911387631975869,0.10584464084524207,2,5,1,Enriched in Weak
group_2893,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2848,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2818,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2774,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2735,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2734,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2671,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2670,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2639,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2627,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2593,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2581,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2551,0.9999999999999999,0.7736247612523403,4,3,1,Enriched in Strong
spaQ,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2321,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_2315,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2283,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2282,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2281,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2193,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2096,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_2064,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_2052,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1971,0.9999999999999999,0.7736247612523403,4,3,1,Enriched in Strong
group_1936,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1855,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1845,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1763,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1741,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1619,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1569,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1464,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1420,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
osmW_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1325,0.03770739064856711,Inf,6,0,1,Enriched in Strong
group_1162,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1147,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1141,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1128,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
prtR_1,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
group_1083,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_1025,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
hyuA_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
osmX_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_905,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_900,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_889,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
tri1_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_846,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
leuA_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_663,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_642,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_575,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
osmV_2,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_562,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_559,0.9999999999999999,0.7736247612523403,4,3,1,Enriched in Strong
pntAA_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
group_531,0.33220211161387636,0.30370098145923147,3,4,1,Enriched in Weak
pntB_1,0.31561085972850683,4.5892868785941205,5,1,1,Enriched in Strong
