Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
group_3813,18,Core,FALSE,TRUE,TRUE,Both ponds
gcvA_11,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3812,18,Core,FALSE,TRUE,TRUE,Both ponds
cseB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3811,18,Core,FALSE,TRUE,TRUE,Both ponds
mmgC_6,18,Core,TRUE,TRUE,TRUE,Both ponds
thrB,18,Core,TRUE,TRUE,TRUE,Both ponds
fmt,18,Core,TRUE,TRUE,TRUE,Both ponds
glyQ,18,Core,TRUE,TRUE,TRUE,Both ponds
gltP_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3810,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3809,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3808,18,Core,FALSE,TRUE,TRUE,Both ponds
betC,18,Core,TRUE,TRUE,TRUE,Both ponds
def_2,18,Core,TRUE,TRUE,TRUE,Both ponds
yqjD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3807,18,Core,FALSE,TRUE,TRUE,Both ponds
dgoK1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3806,18,Core,FALSE,TRUE,TRUE,Both ponds
ctaE,18,Core,TRUE,TRUE,TRUE,Both ponds
lpxP,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3805,18,Core,FALSE,TRUE,TRUE,Both ponds
gcvA_12,18,Core,TRUE,TRUE,TRUE,Both ponds
mkl,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3804,18,Core,FALSE,TRUE,TRUE,Both ponds
algB,18,Core,TRUE,TRUE,TRUE,Both ponds
cynT_2,18,Core,TRUE,TRUE,TRUE,Both ponds
prlC,18,Core,TRUE,TRUE,TRUE,Both ponds
glyS,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3803,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3802,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3801,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3800,18,Core,FALSE,TRUE,TRUE,Both ponds
trpA,18,Core,TRUE,TRUE,TRUE,Both ponds
dauA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
ctaA,18,Core,TRUE,TRUE,TRUE,Both ponds
trpI,18,Core,TRUE,TRUE,TRUE,Both ponds
katE,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3799,18,Core,FALSE,TRUE,TRUE,Both ponds
ctaD,18,Core,TRUE,TRUE,TRUE,Both ponds
