Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3785,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3784,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3781,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3775,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3774,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3773,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3772,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
addA_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3766,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3765,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3764,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3763,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
recF_3,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3761,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3758,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
cusR_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3754,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3745,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3744,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3743,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3742,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
cheB_5,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
actP_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3741,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3738,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3736,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
