time	Isolate	OD	Isolate2
32.5	638A1	2.498	638A1.2
33	638A1	2.495	638A1.2
33.5	638A1	2.45	638A1.2
34	638A1	2.516	638A1.2
34.5	638A1	2.416	638A1.2
35	638A1	2.494	638A1.2
35.5	638A1	2.385	638A1.2
36	638A1	2.39	638A1.2
0.5	643E	0.088	643E.2
1	643E	0.086	643E.2
1.5	643E	0.086	643E.2
2	643E	0.086	643E.2
2.5	643E	0.087	643E.2
3	643E	0.087	643E.2
3.5	643E	0.098	643E.2
4	643E	0.086	643E.2
4.5	643E	0.089	643E.2
5	643E	0.122	643E.2
5.5	643E	0.139	643E.2
6	643E	0.155	643E.2
6.5	643E	0.15	643E.2
7	643E	0.148	643E.2
7.5	643E	0.148	643E.2
8	643E	0.171	643E.2
8.5	643E	0.225	643E.2
9	643E	0.295	643E.2
9.5	643E	0.389	643E.2
10	643E	0.485	643E.2
10.5	643E	0.599	643E.2
11	643E	0.74	643E.2
11.5	643E	0.874	643E.2
12	643E	1.011	643E.2
12.5	643E	1.134	643E.2
13	643E	1.241	643E.2
13.5	643E	1.412	643E.2
14	643E	1.544	643E.2
14.5	643E	1.663	643E.2
15	643E	1.752	643E.2
15.5	643E	1.834	643E.2
16	643E	1.907	643E.2
16.5	643E	1.938	643E.2
17	643E	1.996	643E.2
17.5	643E	2.061	643E.2
18	643E	2.08	643E.2
18.5	643E	2.131	643E.2
19	643E	2.162	643E.2
19.5	643E	2.204	643E.2
20	643E	2.232	643E.2
20.5	643E	2.271	643E.2
21	643E	2.307	643E.2
21.5	643E	2.348	643E.2
22	643E	2.382	643E.2
22.5	643E	2.383	643E.2
23	643E	2.375	643E.2
23.5	643E	2.415	643E.2
24	643E	2.459	643E.2
24.5	643E	2.439	643E.2
25	643E	2.463	643E.2
25.5	643E	2.443	643E.2
26	643E	2.446	643E.2
26.5	643E	2.483	643E.2
27	643E	2.453	643E.2
27.5	643E	2.473	643E.2
28	643E	2.473	643E.2
28.5	643E	2.481	643E.2
29	643E	2.427	643E.2
29.5	643E	2.441	643E.2
30	643E	2.432	643E.2
30.5	643E	2.407	643E.2
31	643E	2.421	643E.2
31.5	643E	2.413	643E.2
32	643E	2.4	643E.2
32.5	643E	2.389	643E.2
33	643E	2.361	643E.2
33.5	643E	2.407	643E.2
34	643E	2.387	643E.2
34.5	643E	2.327	643E.2
35	643E	2.363	643E.2
35.5	643E	2.349	643E.2
36	643E	2.326	643E.2
0.5	649D1	0.089	649D1.2
1	649D1	0.087	649D1.2
1.5	649D1	0.085	649D1.2
2	649D1	0.087	649D1.2
2.5	649D1	0.088	649D1.2
3	649D1	0.104	649D1.2
3.5	649D1	0.121	649D1.2
4	649D1	0.137	649D1.2
4.5	649D1	0.152	649D1.2
5	649D1	0.176	649D1.2
5.5	649D1	0.2	649D1.2
6	649D1	0.224	649D1.2
6.5	649D1	0.254	649D1.2
7	649D1	0.302	649D1.2
7.5	649D1	0.37	649D1.2
8	649D1	0.46	649D1.2
8.5	649D1	0.549	649D1.2
9	649D1	0.682	649D1.2
9.5	649D1	0.881	649D1.2
10	649D1	1.004	649D1.2
10.5	649D1	1.129	649D1.2
11	649D1	1.282	649D1.2
11.5	649D1	1.422	649D1.2
12	649D1	1.523	649D1.2
12.5	649D1	1.657	649D1.2
13	649D1	1.759	649D1.2
13.5	649D1	1.843	649D1.2
14	649D1	1.891	649D1.2
14.5	649D1	1.926	649D1.2
15	649D1	1.948	649D1.2
15.5	649D1	1.966	649D1.2
16	649D1	2.001	649D1.2
16.5	649D1	1.968	649D1.2
17	649D1	1.968	649D1.2
17.5	649D1	1.967	649D1.2
18	649D1	1.943	649D1.2
18.5	649D1	1.998	649D1.2
19	649D1	2.038	649D1.2
19.5	649D1	2.051	649D1.2
20	649D1	2.078	649D1.2
20.5	649D1	2.068	649D1.2
21	649D1	2.132	649D1.2
21.5	649D1	2.144	649D1.2
22	649D1	2.181	649D1.2
22.5	649D1	2.138	649D1.2
23	649D1	2.174	649D1.2
23.5	649D1	2.195	649D1.2
24	649D1	2.232	649D1.2
24.5	649D1	2.224	649D1.2
25	649D1	2.199	649D1.2
25.5	649D1	2.218	649D1.2
26	649D1	2.238	649D1.2
26.5	649D1	2.256	649D1.2
27	649D1	2.268	649D1.2
27.5	649D1	2.239	649D1.2
28	649D1	2.307	649D1.2
28.5	649D1	2.254	649D1.2
29	649D1	2.295	649D1.2
29.5	649D1	2.33	649D1.2
30	649D1	2.319	649D1.2
30.5	649D1	2.33	649D1.2
31	649D1	2.301	649D1.2
31.5	649D1	2.36	649D1.2
32	649D1	2.301	649D1.2
32.5	649D1	2.332	649D1.2
33	649D1	2.317	649D1.2
33.5	649D1	2.293	649D1.2
34	649D1	2.325	649D1.2
34.5	649D1	2.276	649D1.2
35	649D1	2.321	649D1.2
35.5	649D1	2.313	649D1.2
36	649D1	2.363	649D1.2
4.5	633A	0.242	633A.2
5	633A	0.271	633A.2
5.5	633A	0.3	633A.2
6	633A	0.33	633A.2
6.5	633A	0.393	633A.2
7	633A	0.459	633A.2
7.5	633A	0.563	633A.2
8	633A	0.651	633A.2
8.5	633A	0.737	633A.2
9	633A	0.869	633A.2
9.5	633A	0.982	633A.2
10	633A	1.079	633A.2
10.5	633A	1.15	633A.2
11	633A	1.214	633A.2
11.5	633A	1.261	633A.2
12	633A	1.306	633A.2
12.5	633A	1.351	633A.2
13	633A	1.411	633A.2
13.5	633A	1.489	633A.2
14	633A	1.549	633A.2
14.5	633A	1.586	633A.2
15	633A	1.651	633A.2
15.5	633A	1.675	633A.2
16	633A	1.761	633A.2
16.5	633A	1.801	633A.2
17	633A	1.794	633A.2
17.5	633A	1.847	633A.2
18	633A	1.86	633A.2
18.5	633A	1.9	633A.2
19	633A	1.916	633A.2
19.5	633A	1.939	633A.2
20	633A	1.968	633A.2
20.5	633A	1.969	633A.2
21	633A	2.008	633A.2
21.5	633A	2.008	633A.2
22	633A	2.027	633A.2
22.5	633A	2.001	633A.2
23	633A	2.018	633A.2
23.5	633A	2.033	633A.2
24	633A	2.057	633A.2
24.5	633A	2.042	633A.2
25	633A	2.047	633A.2
25.5	633A	2.057	633A.2
26	633A	2.055	633A.2
26.5	633A	2.064	633A.2
27	633A	2.074	633A.2
27.5	633A	2.074	633A.2
28	633A	2.04	633A.2
28.5	633A	2.084	633A.2
29	633A	2.07	633A.2
29.5	633A	2.076	633A.2
30	633A	2.083	633A.2
30.5	633A	2.077	633A.2
31	633A	2.088	633A.2
31.5	633A	2.076	633A.2
32	633A	2.071	633A.2
32.5	633A	2.086	633A.2
33	633A	2.085	633A.2
33.5	633A	2.092	633A.2
34	633A	2.107	633A.2
34.5	633A	2.077	633A.2
35	633A	2.094	633A.2
35.5	633A	2.07	633A.2
36	633A	2.082	633A.2
0.5	638A1	0.127	638A1.2
1	638A1	0.124	638A1.2
1.5	638A1	0.118	638A1.2
2	638A1	0.119	638A1.2
2.5	638A1	0.13	638A1.2
3	638A1	0.152	638A1.2
3.5	638A1	0.189	638A1.2
4	638A1	0.257	638A1.2
4.5	638A1	0.371	638A1.2
5	638A1	0.494	638A1.2
