Sp1	Sp2	ANI	Lake1	Lake2	Comparison
630A	642A	83.4636	Sixty Lake	Sixty Lake	Same Pond
630A	CP6A	83.4649	Sixty Lake	Conness Pond	Different Pond
630A	CP3F2	83.4723	Sixty Lake	Conness Pond	Different Pond
630A	649D1	83.4795	Sixty Lake	Sixty Lake	Same Pond
630A	CP19F2	83.4838	Sixty Lake	Conness Pond	Different Pond
630A	632B	83.4862	Sixty Lake	Sixty Lake	Same Pond
630A	CP10A	83.4878	Sixty Lake	Conness Pond	Different Pond
630A	633A	83.4986	Sixty Lake	Sixty Lake	Same Pond
630A	CP12E	83.4988	Sixty Lake	Conness Pond	Different Pond
630A	631B	83.5026	Sixty Lake	Sixty Lake	Same Pond
630A	CP17D	83.5129	Sixty Lake	Conness Pond	Different Pond
630A	CP15C	83.5201	Sixty Lake	Conness Pond	Different Pond
630A	628C	83.5216	Sixty Lake	Sixty Lake	Same Pond
630A	638A1	83.5229	Sixty Lake	Sixty Lake	Same Pond
630A	643E	83.5264	Sixty Lake	Sixty Lake	Same Pond
638A1	630A	83.5284	Sixty Lake	Sixty Lake	Same Pond
630A	CP8C	83.5316	Sixty Lake	Conness Pond	Different Pond
649D1	630A	83.5375	Sixty Lake	Sixty Lake	Same Pond
CP6A	630A	83.55	Conness Pond	Sixty Lake	Different Pond
642A	630A	83.5514	Sixty Lake	Sixty Lake	Same Pond
628C	630A	83.552	Sixty Lake	Sixty Lake	Same Pond
CP20G1	630A	83.5534	Conness Pond	Sixty Lake	Different Pond
CP5A	630A	83.5546	Conness Pond	Sixty Lake	Different Pond
CP3F2	630A	83.5575	Conness Pond	Sixty Lake	Different Pond
633A	630A	83.5702	Sixty Lake	Sixty Lake	Same Pond
CP15C	630A	83.5704	Conness Pond	Sixty Lake	Different Pond
CP19F2	630A	83.571	Conness Pond	Sixty Lake	Different Pond
630A	CP20G1	83.5738	Sixty Lake	Conness Pond	Different Pond
CP10A	630A	83.5825	Conness Pond	Sixty Lake	Different Pond
CP8C	630A	83.5956	Conness Pond	Sixty Lake	Different Pond
643E	630A	83.5985	Sixty Lake	Sixty Lake	Same Pond
632B	630A	83.6078	Sixty Lake	Sixty Lake	Same Pond
CP17D	630A	83.6079	Conness Pond	Sixty Lake	Different Pond
CP2A	630A	83.6181	Conness Pond	Sixty Lake	Different Pond
631B	630A	83.6223	Sixty Lake	Sixty Lake	Same Pond
CP13A	630A	83.6668	Conness Pond	Sixty Lake	Different Pond
CP12E	630A	83.6955	Conness Pond	Sixty Lake	Different Pond
630A	629A2A	85.5545	Sixty Lake	Sixty Lake	Same Pond
629A2A	630A	85.6442	Sixty Lake	Sixty Lake	Same Pond
CP12E	CP5A	98.7307	Conness Pond	Conness Pond	Same Pond
CP2A	CP5A	98.7376	Conness Pond	Conness Pond	Same Pond
CP19F2	CP5A	98.7379	Conness Pond	Conness Pond	Same Pond
CP3F2	CP5A	98.7473	Conness Pond	Conness Pond	Same Pond
CP20G1	CP5A	98.7626	Conness Pond	Conness Pond	Same Pond
CP5A	CP12E	98.7633	Conness Pond	Conness Pond	Same Pond
CP5A	CP10A	98.7637	Conness Pond	Conness Pond	Same Pond
CP5A	CP2A	98.7663	Conness Pond	Conness Pond	Same Pond
CP10A	CP5A	98.7669	Conness Pond	Conness Pond	Same Pond
CP5A	CP20G1	98.7677	Conness Pond	Conness Pond	Same Pond
CP5A	CP19F2	98.7703	Conness Pond	Conness Pond	Same Pond
CP19F2	632B	98.7761	Conness Pond	Sixty Lake	Different Pond
CP20G1	CP13A	98.7796	Conness Pond	Conness Pond	Same Pond
CP2A	CP15C	98.7826	Conness Pond	Conness Pond	Same Pond
CP19F2	CP15C	98.7848	Conness Pond	Conness Pond	Same Pond
CP19F2	CP13A	98.7856	Conness Pond	Conness Pond	Same Pond
CP5A	CP3F2	98.7859	Conness Pond	Conness Pond	Same Pond
CP2A	CP13A	98.7904	Conness Pond	Conness Pond	Same Pond
CP2A	632B	98.791	Conness Pond	Sixty Lake	Different Pond
CP20G1	CP15C	98.7933	Conness Pond	Conness Pond	Same Pond
628C	CP20G1	98.7937	Sixty Lake	Conness Pond	Different Pond
CP12E	CP17D	98.7938	Conness Pond	Conness Pond	Same Pond
628C	CP12E	98.7939	Sixty Lake	Conness Pond	Different Pond
CP19F2	642A	98.794	Conness Pond	Sixty Lake	Different Pond
CP12E	628C	98.7953	Conness Pond	Sixty Lake	Different Pond
CP15C	CP20G1	98.7953	Conness Pond	Conness Pond	Same Pond
CP15C	CP12E	98.7956	Conness Pond	Conness Pond	Same Pond
CP3F2	632B	98.7969	Conness Pond	Sixty Lake	Different Pond
CP20G1	642A	98.7969	Conness Pond	Sixty Lake	Different Pond
CP12E	CP13A	98.7989	Conness Pond	Conness Pond	Same Pond
CP3F2	CP17D	98.799	Conness Pond	Conness Pond	Same Pond
CP19F2	CP17D	98.8008	Conness Pond	Conness Pond	Same Pond
CP20G1	CP17D	98.8013	Conness Pond	Conness Pond	Same Pond
642A	CP12E	98.8016	Sixty Lake	Conness Pond	Different Pond
CP2A	CP17D	98.8047	Conness Pond	Conness Pond	Same Pond
628C	CP2A	98.806	Sixty Lake	Conness Pond	Different Pond
CP19F2	628C	98.8065	Conness Pond	Sixty Lake	Different Pond
642A	CP10A	98.8074	Sixty Lake	Conness Pond	Different Pond
628C	CP19F2	98.8083	Sixty Lake	Conness Pond	Different Pond
CP12E	CP15C	98.8091	Conness Pond	Conness Pond	Same Pond
CP12E	642A	98.8099	Conness Pond	Sixty Lake	Different Pond
