Gene	KO
group_452	K02004
group_84	K02004
macB_2	K02004
group_456	K02005
cysA_1	K02010
btuD_7	K02010
btuD_10	K02010
group_255	K02011
group_212	K02011
group_259	K02011
group_3610	K02011
group_716	K02012
group_693	K02012
fbpA_1	K02012
fbpA_2	K02012
fecE_1	K02013
fpuC	K02013
btuB_1	K02014
iutA	K02014
btuB_4	K02014
cntO_1	K02014
btuB_5	K02014
group_146	K02014
group_114	K02014
cntO_2	K02014
fcuA_1	K02014
btuB_7	K02014
fcuA_2	K02014
btuB_8	K02014
cntO_3	K02014
cntO_4	K02014
group_108	K02014
btuB_9	K02014
cntO_5	K02014
fatA	K02014
fhuA	K02014
yfhA	K02015
hmuU_1	K02015
group_708	K02016
btuF_1	K02016
btuF_3~~~btuF_2	K02016
btuD_9	K02017
modB	K02018
modE	K02019
ais_1	K02020
modA	K02020
lamB	K02024
glnQ_1	K02028
btuD_4	K02028
glnQ_2	K02028
tcyC_1	K02028
glnQ_6	K02028
glnQ_7	K02028
tcyC_3	K02028
glnQ_8	K02028
yecS_1	K02029
yecS_2	K02029
btuD_4	K02029
group_3580	K02029
group_771	K02029
occQ	K02029
occM_1	K02029
group_925	K02029
glnP_1	K02029
glnP_2	K02029
glnM	K02029
yecS_4	K02029
glnP_3	K02029
glnP_4	K02029
tcyL	K02029
gltK_2	K02029
artJ_1	K02030
group_1061	K02030
group_1242	K02030
group_1034	K02030
fliY_2	K02030
fliY_3	K02030
fliY_4	K02030
group_841	K02030
occT	K02030
tcyA	K02030
peb1A_1	K02030
group_3457	K02030
peb1A_2	K02030
fliY_6	K02030
glnH	K02030
tcyA_2	K02030
oppD	K02031
gsiA	K02031
btuD_5	K02032
gsiA	K02032
gsiC	K02033
dppB_2	K02033
ddpC	K02034
group_242	K02035
gsiB	K02035
pstB_1	K02036
pstB_2	K02036
group_107	K02037
pstC	K02037
group_4330	K02037
group_226	K02038
pstA	K02038
phoU	K02039
pstS_1	K02040
pstS_2	K02040
group_401	K02040
cysA_3	K02045
cysT	K02046
cysW_3	K02047
sbp_1	K02048
group_407	K02049
cmpD	K02049
cmpC	K02049
group_206	K02050
group_1026	K02050
cmpB	K02050
group_632	K02051
group_503	K02051
potA_2	K02052
btuD_8	K02052
