Gene	KO
yejB_2	K13894
yejE_2	K13895
yejE_1	K13895
yejF_1	K13896
yejF_2	K13896
rcsC_4~~~rcsC_10	K13924
rbbA	K13926
gltC_1	K13928
madA	K13929
citG	K13930
mdcC	K13931
madC	K13932
madD	K13933
mdcG	K13934
fabD_1	K13935
folM	K13938
adhA	K13953
group_3336	K13953
adhB_1	K13954
adhC2	K13979
yahK	K13979
nicF	K13995
puuP	K14052
uspE_4	K14055
ttcA	K14058
intQ	K14059
group_808	K14059
group_3388	K14059
patB	K14155
group_1412	K14160
imuB	K14161
dnaE2	K14162
pheA	K14170
group_70	K14205
alaA	K14260
alaC	K14261
dapL_2	K14267
group_3746	K14267
davT_3	K14268
ybdL	K14287
group_727	K14347
actP	K14393
rimO	K14441
group_2027	K14475
ribBA	K14652
argA	K14682
aes_2	K14731
tsaB	K14742
group_1845	K14744
nicC	K14974
rcsC_24~~~rcsC_1	K14978
vraR	K14979
group_3402	K14979
group_3839	K14998
regB	K15011
regA	K15012
arfB	K15034
group_3072	K15125
cdiA1~~~cdiA	K15125
group_3155	K15125
cmoA	K15256
group_2981	K15256
cmoB	K15257
eamA_1~~~eamA_3	K15268
group_663	K15344
group_1083	K15344
sseC	K15345
nicD	K15357
group_2935	K15368
gdhB	K15371
trmJ	K15396
mnmC_2	K15461
hpsN	K15509
rodZ	K15539
yadV_1	K15540
yadV_3	K15540
yadV_4	K15540
yadV_1~~~yadV_3	K15540
group_3143	K15540
tauA_1	K15551
tauA_2	K15551
ssuC_2	K15552
ssuA_1	K15553
ssuA_2	K15553
ssuA_3	K15553
group_691	K15553
group_633	K15553
ssuA_5	K15553
group_773	K15553
ssuA_4~~~ssuA_3	K15553
ssuC_1	K15554
group_744	K15554
ssuC_3	K15554
group_3676	K15554
ssuB_1	K15555
ssuB_3	K15555
nrtD	K15555
ssuB_3~~~ssuB_2	K15555
nrtA	K15576
gpmI	K15633
erpA	K15724
czcC	K15725
czcA_2	K15726
czcB	K15727
uup	K15738
ygiD	K15777
algC	K15778
rmd	K15856
crt_2	K15866
mhqP	K15977
group_3749	K15977
group_3003	K15977
rsmJ	K15984
ppaC	K15986
group_323	K16011
algA_2	K16011
algA_1	K16011
ybdG	K16053
zntB_1	K16074
zntB_2	K16074
algE	K16081
btuB_2	K16087
tdhA	K16087
btuB_3	K16087
fpvA_1	K16088
fpvA_2	K16088
bfrD	K16090
fecA_1	K16091
fecA_2	K16091
btuB_6	K16092
dmlR_25	K16135
nemR_1	K16137
group_1587	K16137
group_1037	K16137
group_1448	K16137
group_3064	K16137
comR_1	K16137
glgE2	K16147
ycgM_2	K16165
proY_1	K16234
yhdG	K16238
potE	K16238
czcD_2	K16264
group_770	K16291
efeB	K16301
pitA_2	K16322
xanP_1	K16345
xanP_1~~~xanP_2	K16345
group_606	K16568
group_647	K16568
group_613	K16568
hyuE	K16841
group_839	K16842
group_583	K16872
addA_1	K16898
group_3515	K16922
dctB_2	K17060
dctD_2	K17061
group_962	K17103
thpA_2	K17205
rbsC_3	K17206
rbsA_3	K17207
thpA_3	K17213
rbsC_5	K17214
rbsA_4	K17215
group_464	K17218
sfnG	K17228
msrQ	K17247
group_440	K17315
melD_1	K17316
ngcG	K17317
group_208	K17321
melD_2	K17322
dasC	K17323
ugpC_2	K17324
sugC	K17325
group_219	K17680
copA_2	K17686
actP_2	K17686
bamB	K17713
preT	K17722
preA	K17723
lcdH_2~~~lcdH~~~lcdH_1	K17735
cdhR_3	K17736
cynR_5	K17737
ampR	K17850
phaJ	K17865
wbiB	K17947
nicX	K18028
nicA	K18029
nicB	K18030
rstB	K18072
rstA_2	K18073
oprD_1	K18093
oprD_2	K18093
rhlA_1	K18100
cat1	K18118
ttgB	K18138
bepE	K18138
mexB	K18138
ttgC_1	K18139
ttgC_2	K18139
oprM_2	K18139
group_348	K18139
rcsC_25	K18143
baeR_1	K18144
inhA	K18199
group_749	K18208
group_4010	K18294
group_4080	K18294
acrA	K18295
mexA_2	K18295
acrE	K18295
acrB	K18296
mexB_2	K18296
group_4296	K18296
nodD2_1	K18297
nodD2_3	K18297
nodD2_4	K18297
bepF	K18298
oqxB9	K18299
oprM_4	K18300
group_3748	K18301
mdtA_4	K18302
acrF	K18303
group_3634	K18456
laaA	K18457
yihS	K18479
group_3799	K18480
ramA_2	K18540
group_4061	K18640
mltF_4	K18691
group_1326	K18697
uctC_1	K18702
ubiI	K18800
group_1843	K18816
group_2134	K18831
higA	K18831
group_3971	K18831
chpB	K18841
chpS	K18842
roxA	K18850
group_177	K18893
pgrR_2	K18900
relB	K18918
group_2900	K18929
group_57	K18930
rhaS_2	K18954
dgcC_1	K18968
dgcC_2	K18968
queG	K18979
udh_2	K18981
mtrA_1	K18991
mtrA_2	K18991
group_4119	K19092
ttr	K19113
group_2330	K19166
higB	K19166
group_3950	K19166
group_2009	K19168
cobO_1	K19221
group_1871	K19222
gpr	K19265
hxpA	K19270
alg8	K19290
group_540	K19291
algK	K19292
algX	K19293
group_290	K19294
patA_1	K19294
patA~~~patA_2	K19294
algJ	K19295
algF	K19296
hexR_1	K19337
hexR_2	K19337
eptC	K19353
yccA	K19416
ydhP_1	K19577
ydhP_2	K19577
ydhP_3	K19577
pbuE	K19577
hmrR	K19591
pfeS	K19609
baeR_2	K19610
group_792	K19689
rsbQ	K19707
rutR_4	K19736
dauB	K19744
dauA_1	K19746
chrR_1	K19784
chrR_2	K19784
group_4287	K19784
group_562	K19802
adh1	K19954
dmdC_1	K20035
dmdC_2	K20035
dmdC_3	K20035
group_3431	K20266
group_4067	K20276
group_4068	K20276
group_2	K20276
group_4	K20276
group_28	K20276
acnD_1	K20455
yfdH	K20534
yigB	K20862
yrfG	K20881
dmoA_2	K20938
dmoA_1	K20938
rcsC_10	K20971
group_3482	K20972
rcsC_6	K20973
rcsC_29	K20974
group_2162	K20976
rcsC_5	K20977
group_2319	K20978
group_1047	K20987
group_337	K20997
group_150	K20998
mshA_3	K20999
group_400	K21000
group_488	K21001
group_598	K21002
group_340	K21003
murJ_1	K21004
group_699	K21005
dgcN	K21021
group_130	K21023
group_139	K21024
moeB	K21029
group_3584	K21053
dadA1_3	K21060
dapA_4	K21062
mdtB_3	K21133
czcA_3	K21134
mdtA_8	K21135
mdtA_5	K21136
macA_2	K21137
glpE_2	K21147
moeZ	K21147
phnZ	K21196
pal_5	K21218
acoR_1	K21405
acoR_2	K21405
bpt	K21420
yliI	K21430
ycbB	K21470
yddM	K21498
higA_2	K21498
polS	K21620
yjiE	K21645
group_3604	K21699
group_794	K21699
cmpR_2	K21703
cmpR_1	K21711
benM_2	K21757
cdhR_6	K21825
cdhR_2	K21826
cdhR_4	K21826
group_889	K21826
dauR_1	K21829
group_649	K21830
hcr	K21832
stcD	K21833
group_163	K21834
group_3193	K21929
group_1150	K21965
yfdC	K21990
group_123	K22044
mscS_1	K22044
kstR2	K22108
tcdA	K22132
group_1109	K22185
aldHT	K22187
pgdA	K22278
mupP_1	K22292
nicS_2	K22294
nicR	K22296
adhB_2	K22474
group_3824	K22474
ypeA_2~~~ypeA_1	K22477
group_1494	K22479
group_793	K22491
group_832	K22491
sctC_1	K22504
thadh	K22589
group_1063	K22617
envC	K22719
group_1230	K22736
group_3221	K22736
trmO	K22900
artJ_2	K23055
artQ	K23056
occM_2~~~occM_3	K23057
occP	K23058
group_3871	K23061
occM_4	K23062
group_3883	K23063
group_3864	K23064
yajO_3	K23107
sbp_2	K23163
fecB	K23181
fecD	K23182
fecC	K23183
fecE_2	K23184
frmR	K23239
mntP	K23242
curA	K23256
eltD_1	K23271
eltD_2	K23271
group_350	K23467
group_3335	K23467
C1hpah	K23470
C2hpah	K23492
fecI_1	K23514
fecI_2	K23514
fecI_3	K23514
group_1460	K23514
fecI_6	K23514
mneA	K23541
btsT	K23676
group_293	K23753
hdfR_7~~~hdfR_6	K23773
ohrR	K23775
group_1705	K23775
cecR	K23777
group_82	K23993
group_78	K23993
group_52	K23993
nnr	K23997
nnr_1~~~nnr_2	K23997
aroA_1	K24018
ahpC_2	K24119
group_1362	K24158
group_378	K24160
nhaK_1	K24163
nhaK_2~~~nhaK	K24163
group_3099	K24180
uacT_1	K24206
uacT_2	K24206
group_3462	K24217
pglF	K24300
gnu	K24310
group_1426	K24700
xylB_1	K24707
rlhA_1	K24847
nagR_1	K24967
hmuT	K25132
hmuU_2	K25133
group_3159	K25135
group_1183	K25151
btuD_8~~~btuD_6	K25152
group_207	K25153
group_1806	K25307
ygeA	K25316
yceF	K25422
tsaD	K25706
aroE_1	K25901
fixB	K25960
group_1102	K25961
group_371	K25986
gabD	K26061
davT_1	K26062
puuB_2	K26065
aknOx	K26080
group_2276	K26138
nasD	K26139
pdeB	K26148
pdeG	K26148
group_171	K26400
yihN	K26602
group_1246	K26605
group_2293	K26606
kefB	K26735
mepA	K26937
dinF	K26937
mdtK	K26939
norM	K26939
group_1724	N/A
group_1974	N/A
group_2720	N/A
group_433	N/A
group_45	N/A
group_2414	N/A
group_1298	N/A
group_1858	N/A
aphA	N/A
group_736	N/A
group_1849	N/A
group_2544	N/A
cheB_1	N/A
rubA1	N/A
group_1868	N/A
group_1888	N/A
group_1658	N/A
prpC_1	N/A
group_216	N/A
group_838	N/A
group_2054	N/A
group_361	N/A
group_2205	N/A
group_967	N/A
group_1153	N/A
yabJ_1	N/A
group_947	N/A
group_2700	N/A
ycaD_1	N/A
norG_1	N/A
group_2621	N/A
rutC_1	N/A
puuR	N/A
group_1909	N/A
group_2133	N/A
group_1206	N/A
group_168	N/A
group_228	N/A
group_854	N/A
betI_1	N/A
group_1920	N/A
sutA	N/A
group_2812	N/A
group_2507	N/A
group_2387	N/A
group_1810	N/A
group_1504	N/A
group_1154	N/A
group_2076	N/A
elbB	N/A
group_471	N/A
group_1259	N/A
group_1331	N/A
group_157	N/A
group_1755	N/A
group_1850	N/A
group_1725	N/A
arnB_1	N/A
group_2285	N/A
group_376	N/A
nicP_1	N/A
group_2660	N/A
group_1351	N/A
group_1352	N/A
cdhR_1	N/A
group_2145	N/A
group_921	N/A
arnE_1	N/A
arnE_2	N/A
group_1491	N/A
menH_1	N/A
group_1138	N/A
group_1874	N/A
group_346	N/A
ycgM_1	N/A
yjiK_1	N/A
yjiK_2	N/A
group_1322	N/A
group_1146	N/A
merR1_1	N/A
mnmC_1	N/A
group_377	N/A
group_374	N/A
ydhC_1	N/A
group_940	N/A
fdx_1	N/A
group_261	N/A
group_1557	N/A
group_1299	N/A
group_2065	N/A
group_2255	N/A
hemW	N/A
group_1889	N/A
group_1400	N/A
group_1367	N/A
group_1910	N/A
group_1381	N/A
group_1960	N/A
group_1111	N/A
group_874	N/A
rutC_2	N/A
yceJ_1	N/A
yceI_1	N/A
group_2077	N/A
group_1984	N/A
group_178	N/A
group_2031	N/A
yqjC	N/A
COQ3_1	N/A
group_2609	N/A
group_2220	N/A
group_1744	N/A
group_129	N/A
group_2346	N/A
yccS	N/A
group_403	N/A
hsrA	N/A
group_416	N/A
group_331	N/A
group_2464	N/A
kce	N/A
group_523	N/A
group_1952	N/A
group_1994	N/A
group_1602	N/A
group_2702	N/A
group_1175	N/A
group_2477	N/A
group_1283	N/A
group_1510	N/A
yihG_1	N/A
group_1641	N/A
yibF_1	N/A
group_2760	N/A
group_596	N/A
atoC_1	N/A
group_1651	N/A
rdoA	N/A
group_1157	N/A
group_2397	N/A
group_2839	N/A
group_436	N/A
cynR_1	N/A
group_2820	N/A
lrp_2	N/A
mltF_1	N/A
mltF_2	N/A
uvrY	N/A
group_1243	N/A
group_784	N/A
group_352	N/A
lvr	N/A
rhaS_1	N/A
group_2113	N/A
pal_1	N/A
norG_2	N/A
group_1703	N/A
group_1437	N/A
group_2185	N/A
group_353	N/A
group_800	N/A
group_1045	N/A
group_948	N/A
group_2879	N/A
group_1181	N/A
group_1253	N/A
group_1898	N/A
group_393	N/A
nreC	N/A
rcsB_1	N/A
group_1828	N/A
pdeR	N/A
group_275	N/A
group_673	N/A
group_2206	N/A
group_2146	N/A
group_1318	N/A
group_1492	N/A
group_778	N/A
group_1260	N/A
dmlR_1	N/A
group_747	N/A
group_288	N/A
group_1558	N/A
glaR	N/A
hisC_1	N/A
group_743	N/A
group_2545	N/A
group_1007	N/A
pknD_2	N/A
group_1829	N/A
group_95	N/A
nanR_1	N/A
mcbR	N/A
group_539	N/A
group_664	N/A
group_1458	N/A
group_875	N/A
gltR_1	N/A
eamA_1	N/A
ehpR	N/A
group_1107	N/A
group_1726	N/A
group_2646	N/A
group_349	N/A
group_954	N/A
group_358	N/A
smc_2	N/A
vioA	N/A
group_68	N/A
group_524	N/A
perB	N/A
group_797	N/A
group_625	N/A
group_1875	N/A
group_876	N/A
rpoE_1	N/A
group_2586	N/A
group_408	N/A
yhaJ	N/A
bioP	N/A
rhlE_2	N/A
group_2415	N/A
group_2026	N/A
group_941	N/A
group_2769	N/A
group_486	N/A
gltR_2	N/A
group_2854	N/A
group_131	N/A
group_295	N/A
group_1931	N/A
group_891	N/A
sbnD	N/A
group_165	N/A
group_2737	N/A
group_1207	N/A
group_626	N/A
group_1382	N/A
group_1572	N/A
group_419	N/A
group_1985	N/A
group_2855	N/A
group_1733	N/A
group_2622	N/A
group_2318	N/A
group_2256	N/A
rcsC_4	N/A
group_912	N/A
rhaR_1	N/A
lpxH_1	N/A
group_2347	N/A
group_2020	N/A
group_2153	N/A
group_2246	N/A
group_1560	N/A
yegS	N/A
degU	N/A
group_892	N/A
group_1851	N/A
group_1573	N/A
group_201	N/A
group_1068	N/A
group_1547	N/A
lgrE	N/A
lgrD_1	N/A
gbpA	N/A
resA_1	N/A
scmP	N/A
group_2778	N/A
apeB	N/A
group_1076	N/A
group_432	N/A
group_6	N/A
group_2008	N/A
cynR_2	N/A
group_404	N/A
group_2078	N/A
group_2439	N/A
group_2721	N/A
group_2040	N/A
smrA	N/A
group_2266	N/A
group_1459	N/A
group_1039	N/A
group_2404	N/A
group_1603	N/A
group_2730	N/A
mdoB_1	N/A
group_2828	N/A
hcaB_1	N/A
group_518	N/A
gshAB	N/A
group_9	N/A
yhbE	N/A
group_1108	N/A
group_87	N/A
group_1040	N/A
group_840	N/A
gltC_2	N/A
group_179	N/A
czcD_1	N/A
entS_1	N/A
yofA_1	N/A
group_1574	N/A
group_750	N/A
group_2799	N/A
group_2738	N/A
group_643	N/A
group_1976	N/A
menH_2	N/A
group_287	N/A
group_1476	N/A
rutC_3	N/A
group_767	N/A
group_931	N/A
novR	N/A
group_1284	N/A
sfnC_1	N/A
group_2069	N/A
ttuB_1	N/A
hisZ_1	N/A
group_2340	N/A
group_2154	N/A
rhtB_3	N/A
group_1830	N/A
group_233	N/A
group_1968	N/A
group_1170	N/A
group_2587	N/A
aes_1	N/A
group_701	N/A
gltR_3	N/A
group_2680	N/A
group_2247	N/A
group_1130	N/A
nylB	N/A
group_2286	N/A
group_1484	N/A
group_487	N/A
group_885	N/A
group_1583	N/A
group_1607	N/A
group_702	N/A
group_1292	N/A
argP_1	N/A
smtB_1	N/A
nicT_1	N/A
pcpR_1	N/A
fosA	N/A
group_1353	N/A
group_1608	N/A
group_1922	N/A
group_2221	N/A
group_2761	N/A
benM_1	N/A
group_507	N/A
group_2320	N/A
group_1616	N/A
rhlA_2	N/A
group_1899	N/A
fadJ_2	N/A
nicP_2	N/A
group_1014	N/A
yycJ	N/A
nepI_2	N/A
group_893	N/A
group_2779	N/A
group_512	N/A
pcpR_2	N/A
group_943	N/A
dmlR_2	N/A
group_2780	N/A
bmr3	N/A
COQ5_1	N/A
ghrA_1	N/A
rutE	N/A
group_482	N/A
group_1786	N/A
group_2070	N/A
group_848	N/A
speE_1	N/A
group_2388	N/A
group_1591	N/A
yafJ	N/A
group_1575	N/A
oxyR_3	N/A
pxpB	N/A
group_975	N/A
group_2635	N/A
group_627	N/A
group_2788	N/A
group_1623	N/A
group_2416	N/A
group_1219	N/A
group_65	N/A
group_1511	N/A
proP_2	N/A
group_1576	N/A
group_1477	N/A
group_2452	N/A
phnX_1	N/A
group_2348	N/A
group_1734	N/A
group_332	N/A
group_495	N/A
group_980	N/A
group_2661	N/A
group_2869	N/A
group_1496	N/A
group_1963	N/A
group_2833	N/A
group_894	N/A
group_2234	N/A
group_2071	N/A
group_2010	N/A
group_1008	N/A
dmlR_4	N/A
yahB	N/A
ydhC_2	N/A
group_993	N/A
yciK	N/A
fdtB	N/A
wzxE	N/A
group_326	N/A
group_1261	N/A
group_608	N/A
group_590	N/A
group_591	N/A
group_1345	N/A
group_2800	N/A
group_2889	N/A
group_2405	N/A
group_1119	N/A
group_1053	N/A
group_2520	N/A
group_309	N/A
mltF_3	N/A
group_2303	N/A
group_717	N/A
group_2365	N/A
group_2521	N/A
group_1890	N/A
group_1685	N/A
group_1735	N/A
group_568	N/A
hdfR_2	N/A
speE_2	N/A
paaF_1	N/A
group_2011	N/A
ykuI	N/A
group_2186	N/A
group_2032	N/A
yqjD_1	N/A
occR	N/A
group_2207	N/A
group_2636	N/A
group_269	N/A
group_2012	N/A
group_1244	N/A
group_2739	N/A
group_1986	N/A
sotB_1	N/A
group_1415	N/A
group_1878	N/A
oprM_1	N/A
group_922	N/A
aaeB_1	N/A
group_430	N/A
group_2092	N/A
group_250	N/A
yjcH	N/A
group_1155	N/A
group_2495	N/A
group_1756	N/A
group_1842	N/A
group_1178	N/A
group_695	N/A
pxpC_2	N/A
gltR_4	N/A
pgrR_1	N/A
fabG_1	N/A
dmlR_6	N/A
group_1879	N/A
metR_1	N/A
group_1757	N/A
group_2173	N/A
group_1652	N/A
udh_1	N/A
group_1659	N/A
cynR_4	N/A
group_830	N/A
group_2862	N/A
group_1900	N/A
group_2062	N/A
group_817	N/A
group_1787	N/A
cefD_1	N/A
group_1009	N/A
oleD	N/A
group_650	N/A
group_2033	N/A
group_2851	N/A
group_2722	N/A
yhhS_1	N/A
group_1274	N/A
group_1977	N/A
group_1801	N/A
frc	N/A
group_2115	N/A
group_1710	N/A
group_270	N/A
rcsC_7	N/A
group_868	N/A
cpoB	N/A
pmpR	N/A
group_2637	N/A
group_2187	N/A
rcsC_8	N/A
group_1831	N/A
group_2794	N/A
group_2072	N/A
group_1255	N/A
group_754	N/A
group_291	N/A
group_549	N/A
group_399	N/A
group_2063	N/A
group_2073	N/A
paaF_2	N/A
nagAa	N/A
group_1131	N/A
group_2538	N/A
group_2188	N/A
rhaS_3	N/A
sasA_4	N/A
sigE	N/A
group_336	N/A
group_280	N/A
group_2611	N/A
inaA	N/A
group_1279	N/A
sasA_5	N/A
czcR_1	N/A
mdoB_2	N/A
group_712	N/A
group_798	N/A
yaeQ	N/A
group_913	N/A
group_2389	N/A
group_2604	N/A
group_1964	N/A
ypjD	N/A
yhjE	N/A
group_1788	N/A
yrdA_1	N/A
nudL	N/A
nudC_1	N/A
group_1675	N/A
group_2465	N/A
group_1363	N/A
group_2292	N/A
group_2406	N/A
group_125	N/A
group_1552	N/A
catM	N/A
group_1015	N/A
group_1354	N/A
iscX	N/A
group_1577	N/A
group_1256	N/A
rhtB_4	N/A
group_2079	N/A
group_2623	N/A
group_1776	N/A
group_1561	N/A
group_451	N/A
group_1423	N/A
rssB_2	N/A
group_1416	N/A
group_173	N/A
group_1676	N/A
group_1199	N/A
group_877	N/A
malT_1	N/A
group_383	N/A
group_197	N/A
group_857	N/A
oleB	N/A
fucA_2	N/A
yohK_1	N/A
gltC_3	N/A
pfyP_1	N/A
group_1438	N/A
mgtA_1	N/A
nemA_2	N/A
group_2496	N/A
hexR_3	N/A
group_2022	N/A
group_896	N/A
dmlR_7	N/A
cysL_1	N/A
group_737	N/A
hdfR_3	N/A
pal_3	N/A
group_1514	N/A
group_3642	N/A
group_3481	N/A
group_3535	N/A
group_3592	N/A
group_3452	N/A
group_3544	N/A
group_3587	N/A
group_3609	N/A
catD_2	N/A
group_3588	N/A
ftsN	N/A
benM_3	N/A
group_3485	N/A
COQ5_2	N/A
group_3683	N/A
group_3499	N/A
group_3573	N/A
group_3595	N/A
group_3517	N/A
dltA	N/A
group_3681	N/A
group_3446	N/A
group_3514	N/A
group_3512	N/A
group_3682	N/A
dmdC_4	N/A
group_3484	N/A
group_3518	N/A
group_3503	N/A
kdkA	N/A
group_3629	N/A
group_3490	N/A
group_3625	N/A
group_3607	N/A
group_3479	N/A
group_3534	N/A
group_3572	N/A
group_3447	N/A
group_3472	N/A
hdfR_4	N/A
group_3509	N/A
group_3555	N/A
group_3576	N/A
group_3577	N/A
group_3613	N/A
group_3636	N/A
group_3501	N/A
group_3521	N/A
group_3474	N/A
group_3493	N/A
group_3550	N/A
group_3522	N/A
isfD_2	N/A
zitB	N/A
group_3494	N/A
fabR	N/A
group_3590	N/A
group_3641	N/A
nimR_1	N/A
psiF	N/A
group_3542	N/A
group_3654	N/A
group_3449	N/A
group_3618	N/A
group_3567	N/A
group_3454	N/A
ctpL	N/A
rssB_3	N/A
group_3516	N/A
yfcD	N/A
group_3663	N/A
group_3532	N/A
group_3685	N/A
group_3662	N/A
group_3623	N/A
group_3670	N/A
group_3523	N/A
sasA_7	N/A
group_3526	N/A
group_3495	N/A
rssB_4	N/A
group_3460	N/A
group_3524	N/A
group_3540	N/A
atoC_3	N/A
hxuB_1	N/A
group_3694	N/A
group_3673	N/A
group_3583	N/A
group_3551	N/A
group_3543	N/A
group_3684	N/A
dmlR_8	N/A
group_3557	N/A
group_3558	N/A
yigZ	N/A
group_1859	N/A
yajR	N/A
benM_4	N/A
sttH_1	N/A
group_588	N/A
group_1091	N/A
group_1424	N/A
group_1323	N/A
group_1833	N/A
group_1190	N/A
group_1941	N/A
merR1_2	N/A
group_36	N/A
group_1238	N/A
group_1525	N/A
group_1293	N/A
group_1208	N/A
yjfC	N/A
ycaC	N/A
group_1103	N/A
group_1819	N/A
group_2390	N/A
group_1355	N/A
group_214	N/A
group_1834	N/A
cidA_2	N/A
yohK_2	N/A
group_417	N/A
group_2277	N/A
group_1120	N/A
group_2248	N/A
group_2647	N/A
group_614	N/A
group_1942	N/A
group_615	N/A
group_1306	N/A
group_1759	N/A
group_2304	N/A
yedA_2	N/A
group_849	N/A
group_1512	N/A
mupP_2	N/A
group_748	N/A
group_1954	N/A
ribN	N/A
nicS_1	N/A
group_1913	N/A
group_1880	N/A
group_1869	N/A
entS_2	N/A
group_2801	N/A
anoR_2	N/A
group_2716	N/A
yjiA_1	N/A
group_15	N/A
greA_1	N/A
group_2136	N/A
group_184	N/A
group_1711	N/A
group_89	N/A
group_2235	N/A
group_191	N/A
group_1712	N/A
arnT_1	N/A
group_2877	N/A
group_499	N/A
group_2391	N/A
group_755	N/A
ratA	N/A
group_1987	N/A
group_47	N/A
group_935	N/A
zraR	N/A
sasA_8	N/A
group_2782	N/A
aspC_2	N/A
group_2278	N/A
group_2175	N/A
group_1167	N/A
yqcC	N/A
group_1401	N/A
group_1239	N/A
group_1003	N/A
group_955	N/A
group_2331	N/A
group_2176	N/A
group_1923	N/A
group_1077	N/A
group_2249	N/A
group_445	N/A
group_1526	N/A
group_1200	N/A
group_1214	N/A
mdoD	N/A
group_2750	N/A
namA	N/A
group_1811	N/A
cmpR_3	N/A
lnrK	N/A
group_1881	N/A
group_585	N/A
group_2852	N/A
group_2672	N/A
group_2041	N/A
group_1505	N/A
group_1666	N/A
group_1924	N/A
group_284	N/A
group_1384	N/A
prtR_2	N/A
oatA	N/A
group_2762	N/A
napA	N/A
ydgC	N/A
atoC_4	N/A
sasA_9	N/A
group_578	N/A
group_1104	N/A
group_1332	N/A
rdmC	N/A
group_1667	N/A
group_1965	N/A
rssB_5	N/A
group_175	N/A
group_1114	N/A
group_253	N/A
group_579	N/A
group_2321	N/A
group_40	N/A
group_1057	N/A
smfA	N/A
yfcQ	N/A
yfcR	N/A
group_1478	N/A
papH	N/A
mrpA	N/A
yqjI	N/A
yqjH	N/A
group_1393	N/A
group_2588	N/A
group_103	N/A
yjiA_2	N/A
mhbT	N/A
group_685	N/A
group_1324	N/A
mco	N/A
group_2013	N/A
group_1493	N/A
group_2250	N/A
group_272	N/A
group_2332	N/A
dmlR_9	N/A
mdtD_1	N/A
group_1969	N/A
group_2279	N/A
psiE	N/A
group_2740	N/A
group_1046	N/A
kdgR_2	N/A
group_826	N/A
group_1595	N/A
gltF_1	N/A
gltF_2	N/A
rcsC_12	N/A
gltF_4	N/A
group_1385	N/A
yraJ_2	N/A
group_570	N/A
gltF_5	N/A
gltF_6	N/A
gltF_7	N/A
nanR_2	N/A
group_580	N/A
group_1803	N/A
group_1029	N/A
group_963	N/A
group_1997	N/A
aaeA_1	N/A
aaeX	N/A
aaeB_2	N/A
ttgI	N/A
dmlR_10	N/A
group_1736	N/A
group_1148	N/A
group_2589	N/A
group_2267	N/A
group_1497	N/A
group_2333	N/A
group_1325	N/A
group_2427	N/A
group_1184	N/A
group_1714	N/A
group_1030	N/A
group_1728	N/A
group_2034	N/A
group_1955	N/A
group_2428	N/A
group_2561	N/A
group_2829	N/A
group_1668	N/A
group_2466	N/A
group_2479	N/A
group_2649	N/A
group_1356	N/A
group_2407	N/A
group_2882	N/A
group_2770	N/A
group_609	N/A
group_2055	N/A
group_2392	N/A
group_2856	N/A
group_2236	N/A
group_2681	N/A
group_550	N/A
group_1515	N/A
group_855	N/A
group_987	N/A
lpfB_1	N/A
group_1442	N/A
rcsC_14	N/A
group_756	N/A
lpfB_2	N/A
group_1625	N/A
group_500	N/A
yajO_1	N/A
hdfR_5	N/A
dmlR_11	N/A
dmlR_12	N/A
group_409	N/A
steT_1	N/A
feaR	N/A
bacC	N/A
moaF	N/A
farR	N/A
nicT_2	N/A
group_1058	N/A
tycC_1	N/A
group_2802	N/A
mcbB	N/A
mcbC	N/A
mcbD	N/A
group_1139	N/A
arnT_2	N/A
ais_2	N/A
group_639	N/A
group_333	N/A
group_602	N/A
group_1300	N/A
golD_1	N/A
group_1133	N/A
fecI_4	N/A
group_483	N/A
group_842	N/A
group_2612	N/A
group_949	N/A
bigR	N/A
group_239	N/A
emrA_1	N/A
nicP_3	N/A
group_950	N/A
ttgC_3	N/A
mdtA_2	N/A
czcA_1	N/A
group_1943	N/A
group_2813	N/A
group_1314	N/A
group_1041	N/A
group_686	N/A
group_571	N/A
cysL_2	N/A
group_1220	N/A
group_424	N/A
group_1609	N/A
group_1578	N/A
group_1596	N/A
group_732	N/A
group_1158	N/A
ecfG	N/A
yceJ_2	N/A
group_556	N/A
lexA_2	N/A
group_2771	N/A
hcf136	N/A
iolG_1	N/A
group_1812	N/A
nodD2_2	N/A
group_2508	N/A
group_2268	N/A
group_2440	N/A
group_1835	N/A
group_1518	N/A
group_1245	N/A
group_1144	N/A
group_422	N/A
atoC_5	N/A
group_2480	N/A
yigL	N/A
group_2638	N/A
group_1706	N/A
group_2208	N/A
group_1201	N/A
group_998	N/A
apaH_2	N/A
group_254	N/A
group_388	N/A
cefD_2	N/A
egtB	N/A
purN_2	N/A
lgrD_2	N/A
lgrB	N/A
group_2522	N/A
group_2099	N/A
group_510	N/A
tetC	N/A
clpB_1	N/A
group_2163	N/A
rcsC_16	N/A
rcsC_17	N/A
group_2366	N/A
hcnB	N/A
hcnC	N/A
rhaS_5	N/A
group_689	N/A
group_2789	N/A
nimR_2	N/A
dmlR_13	N/A
group_277	N/A
nimR_3	N/A
group_0	N/A
group_1535	N/A
group_1541	N/A
hdfR_7	N/A
lcfB	N/A
group_1506	N/A
group_1286	N/A
rhaS_6	N/A
group_1669	N/A
yibF_2	N/A
group_951	N/A
group_738	N/A
abaQ	N/A
lutR_3	N/A
group_363	N/A
group_1446	N/A
group_1479	N/A
pgrR_3	N/A
group_924	N/A
group_1276	N/A
group_484	N/A
group_339	N/A
group_565	N/A
group_100	N/A
group_844	N/A
group_442	N/A
group_193	N/A
