Plate_no	"Well
Row"	"Well
Col"	Well	Type	Group	0	3	5	7	Slope	Percent_growth	Percent_inhibition	Bd_strain	P_value	Pond
1	C	8	C8	Unknown	629A2A	0.19	0.265	0.269	0.258	0.009850467	5.56066035	94.43933965	JEL423	1.39708E-06	Sixty Lake
1	C	9	C9	Unknown	629A2A	0.202	0.314	0.322	0.332	0.018261682	10.3088523	89.6911477	JEL423		Sixty Lake
1	C	10	C10	Unknown	629A2A	0.193	0.298	0.317	0.315	0.017672897	9.976478864	90.02352114	JEL423		Sixty Lake
1	C	5	C5	Unknown	630A	0.192	0.302	0.516	0.776	0.083009346	46.85937878	53.14062122	JEL423	3.33704E-05	Sixty Lake
1	C	6	C6	Unknown	630A	0.18	0.352	0.666	0.843	0.098439252	55.56967312	44.43032688	JEL423		Sixty Lake
1	C	7	C7	Unknown	630A	0.185	0.338	0.626	0.817	0.093102804	52.55720912	47.44279088	JEL423		Sixty Lake
1	B	5	B5	Unknown	631B	0.174	0.4	0.67	0.856	0.099700935	56.28190191	43.71809809	JEL423	4.03059E-05	Sixty Lake
1	B	6	B6	Unknown	631B	0.202	0.487	0.669	0.8	0.086485981	48.82196478	51.17803522	JEL423		Sixty Lake
1	B	7	B7	Unknown	631B	0.176	0.409	0.675	0.8	0.092598131	52.2723176	47.7276824	JEL423		Sixty Lake
1	E	5	E5	Unknown	632B	0.184	0.294	0.509	0.508	0.05146729	29.05365897	70.94634103	JEL423	4.65406E-06	Sixty Lake
1	E	6	E6	Unknown	632B	0.159	0.323	0.55	0.601	0.067373832	38.03301752	61.96698248	JEL423		Sixty Lake
1	E	7	E7	Unknown	632B	0.172	0.288	0.495	0.602	0.064084112	36.17594689	63.82405311	JEL423		Sixty Lake
1	G	8	G8	Unknown	633A	0.189	0.199	0.205	0.206	0.00253271	1.429733354	98.57026665	JEL423	2.12346E-06	Sixty Lake
1	G	9	G9	Unknown	633A	0.185	0.211	0.224	0.241	0.007897196	4.458024664	95.54197534	JEL423		Sixty Lake
1	G	10	G10	Unknown	633A	0.187	0.217	0.208	0.234	0.005850467	3.30263129	96.69736871	JEL423		Sixty Lake
1	G	5	G5	Unknown	638A1A	0.198	0.298	0.473	0.843	0.088411215	49.90877316	50.09122684	JEL423	0.027994585	Sixty Lake
1	G	6	G6	Unknown	638A1A	0.192	0.267	0.463	0.929	0.100102804	56.50875997	43.49124003	JEL423		Sixty Lake
1	G	7	G7	Unknown	638A1A	0.209	0.216	0.224	0.229	0.002934579	1.656591414	98.34340859	JEL423		Sixty Lake
1	E	8	E8	Unknown	643E	0.219	0.265	0.746	0.737	0.086271028	48.7006221	51.2993779	JEL423	6.97745E-05	Sixty Lake
1	E	9	E9	Unknown	643E	0.199	0.348	0.658	0.754	0.084700935	47.81429294	52.18570706	JEL423		Sixty Lake
1	E	10	E10	Unknown	643E	0.201	0.522	0.757	0.778	0.087084112	49.15961399	50.84038601	JEL423		Sixty Lake
1	G	2	G2	Unknown	649D1	0.19	0.761	0.83	1.163	0.13211215	74.57826823	25.42173177	JEL423	0.000907114	Sixty Lake
1	G	3	G3	Unknown	649D1	0.178	0.792	0.969	1.106	0.132495327	74.79457475	25.20542525	JEL423		Sixty Lake
1	G	4	G4	Unknown	649D1	0.172	0.657	0.87	1.005	0.120224299	67.86749027	32.13250973	JEL423		Sixty Lake
2	B	2	B2	Nutrient_Depleted	Bd_Prova	0.14	0.546	0.898	0.948	0.122205607	68.98595327	31.01404673	JEL423	0.003685913	N/A
2	B	3	B3	Nutrient_Depleted	Bd_Prova	0.144	0.51	0.806	0.875	0.109485981	61.80563188	38.19436812	JEL423		N/A
2	B	4	B4	Nutrient_Depleted	Bd_Prova	0.231	0.52	0.788	1.246	0.141242991	79.73269438	20.26730562	JEL423		N/A
2	B	2	B2	Nutrient_Depleted	Bd_Prova	0.162	0.479	0.602	0.671	0.073514019	41.49919764	58.50080236	JEL423	0.000195565	N/A
2	B	3	B3	Nutrient_Depleted	Bd_Prova	0.133	0.402	0.449	0.468	0.047925234	27.05414258	72.94585742	JEL423		N/A
2	B	4	B4	Nutrient_Depleted	Bd_Prova	0.141	0.471	0.39	0.427	0.037130841	20.96062958	79.03937042	JEL423		N/A
2	D	2	D2	Pos_Control	Bd_Tryptone	0.149	0.619	0.88	1.308	0.161794393	91.33411004	8.665889956	JEL423	0.090542821	N/A
2	D	3	D3	Pos_Control	Bd_Tryptone	0.178	0.826	1.067	1.316	0.161635514	91.24442197	8.755578026	JEL423		N/A
2	D	4	D4	Pos_Control	Bd_Tryptone	0.164	0.619	0.816	1.389	0.166542056	94.01420061	5.985799389	JEL423		N/A
2	D	2	D2	Pos_Control	Bd_Tryptone	0.154	0.627	0.891	1.781	0.218850467	123.5426788	-23.54267877	JEL423	0.227765806	N/A
2	D	3	D3	Pos_Control	Bd_Tryptone	0.144	0.593	0.648	1.4874	0.174179439	98.3255589	1.674441098	JEL423		N/A
2	D	4	D4	Pos_Control	Bd_Tryptone	0.144	0.588	0.765	1.4881	0.179871963	101.5390297	-1.539029698	JEL423		N/A
2	D	8	D8	Unknown	CP10A	0.171	0.852	0.965	1.15	0.136953271	77.31111648	22.68888352	JEL423	0.004244482	Conness Pond
2	D	9	D9	Unknown	CP10A	0.174	0.686	0.807	1.232	0.143766355	81.15715196	18.84284804	JEL423		Conness Pond
2	D	10	D10	Unknown	CP10A	0.172	0.745	0.923	1.183	0.141859813	80.08089512	19.91910488	JEL423		Conness Pond
1	D	5	D5	Unknown	CP12E	0.259	0.81	1.037	0.997	0.110570093	62.41762107	37.58237893	JEL423	0.002580538	Conness Pond
1	D	6	D6	Unknown	CP12E	0.188	0.5	0.68	1.08	0.122616822	69.21808709	30.78191291	JEL423		Conness Pond
1	D	7	D7	Unknown	CP12E	0.173	0.562	1.065	1.07	0.139757009	78.89384713	21.10615287	JEL423		Conness Pond
1	B	11	B11	Unknown	CP13A	0.225	0.406	0.553	0.628	0.059214953	33.42727133	66.57272867	JEL423	3.67278E-06	Conness Pond
1	C	11	C11	Unknown	CP13A	0.209	0.284	0.443	0.537	0.048682243	27.48147985	72.51852015	JEL423		Conness Pond
1	D	11	D11	Unknown	CP13A	0.188	0.333	0.409	0.446	0.037607477	21.22969379	78.77030621	JEL423		Conness Pond
1	C	8	C8	Unknown	CP15C	0.19	0.756	0.72	0.865	0.090906542	51.31740344	48.68259656	JEL423	0.000376969	Conness Pond
1	C	9	C9	Unknown	CP15C	0.193	0.811	0.779	0.996	0.107616822	60.75047812	39.24952188	JEL423		Conness Pond
1	C	10	C10	Unknown	CP15C	0.215	0.693	0.653	0.78	0.07571028	42.73900332	57.26099668	JEL423		Conness Pond
1	C	5	C5	Unknown	CP17D	0.178	0.495	0.8	1.033	0.124056075	70.03055549	29.96944451	JEL423	0.000890388	Conness Pond
1	C	6	C6	Unknown	CP17D	0.208	0.418	0.86	1.069	0.129186916	72.92695258	27.07304742	JEL423		Conness Pond
1	C	7	C7	Unknown	CP17D	0.204	0.4616	0.826	1.0413	0.123571028	69.75674309	30.24325691	JEL423		Conness Pond
1	B	8	B8	Unknown	CP19F2	0.215	0.768	0.654	0.63	0.055429907	31.29058495	68.70941505	JEL423	0.002087429	Conness Pond
1	B	9	B9	Unknown	CP19F2	0.197	0.854	0.62	0.63	0.053953271	30.45701348	69.54298652	JEL423		Conness Pond
1	B	10	B10	Unknown	CP19F2	0.205	0.878	0.773	0.944	0.097457944	55.01571739	44.98428261	JEL423		Conness Pond
1	B	5	B5	Unknown	CP20G1	0.159	0.63	0.817	0.97	0.116074766	65.52504891	34.47495109	JEL423	0.000459832	Conness Pond
